Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1455383174.851234,1480.6435224643642,11.688842464146584,5.097738826312511,1.7716847295299483,1.5360170399618969,1513.3173537596988,9.8429293497661,6.169326064152712,1.4786307076275906,1.5126536421838614,10.203855062694736,7.409575081638429,3.2319041028700095,1.0464897134064874,0.9766075622473191,0.8501606420254441,0.3654355209438918,0.3296973412400367,0.3033814055398587,0.4034776615064086,93.23087182419508,1.948247810775262,0.8428241486060172,0.47465173679222844,0.2756430116383056
1455383175.351218,1647.3598876838641,7.101588932703815,5.336573525094165,2.093269135680909,1.474999742361933,1685.1273301831386,5.616545098155007,5.466853806066616,2.0067232980383234,1.6922050965114888,14.241923293263149,1.9846333968480774,3.7688990568570224,1.6409660172796792,1.690652350280239,3.08689727855364,0.622280800035312,1.1705140669765361,0.4560521758788107,0.37172777614916763,92.51462950482625,0.4932701719526509,1.2523654918897669,0.5688142964672704,0.37511036761974414
1455383175.8512359,1660.2732450935823,23.043557593715065,40.93423178667086,7.91941969977193,3.188293138546496,1765.6362103661015,15.286253596990532,41.52047591988454,7.111654254269763,2.8041185402221105,50.000837970010664,9.76252955170549,39.72475890184399,5.981624340301821,2.0562388397649825,13.36983205213511,0.9651323367388793,1.74213754881788,0.5401335645004824,0.4342831012935109,74.47781555042329,3.26204333697002,9.345594047673144,2.1367936272815573,0.7279404457927101
1455383176.351254,1528.6492533025162,45.07274621809945,45.257884301036704,10.236264542861337,4.322983004266981,1598.2740326258536,42.763910822809564,43.8089329439836,9.512906911541776,3.679588223921114,63.985131005996976,30.044881878587816,43.81664454099647,9.158840373657195,2.5040240112748475,10.518508564830169,0.672196230845969,0.7195462070727239,0.4691371667893595,0.5697551026768471,60.372247127840296,8.162905293754612,10.313956048960641,3.0817511343906845,1.230878577413409
1455383176.8512511,1382.68466827133,26.964370189041645,7.336105864942833,2.6292307815109273,1.8130216773862395,1406.0653871367624,25.674739731578253,5.2302687221369935,2.6812139135089272,1.5473414961018903,29.972091782258797,17.380323979650445,8.392289335777397,3.3674788634243327,1.4951067708754933,1.0183169804806056,0.288616452330449,0.2894752380771262,0.25534344682169086,0.44532950530980187,40.034152940303244,6.689244089650913,1.8244534469922375,1.1838225882320845,0.5569525389271196
1455383177.351254,1429.3587767574181,25.92969311920355,13.341642199319987,2.55312431714168,1.0402827517589874,1442.0472558808672,23.20254899335606,8.831101159392407,2.6153375660390594,0.8016586242136976,23.781303616002695,20.974130339132653,13.28113497390719,1.9664953736949138,1.2949909359393736,0.6052213186548966,0.2548479414113727,0.2150513977942939,0.4335640014329549,0.31091047288016793,34.83058631279154,8.9605722902504,3.347546728535153,0.6477088287450519,0.5544959496166775
1455383177.851231,1571.0341395613873,7.976831052874163,5.09958974630462,2.5052268971669918,0.8953746243141212,1624.5424120778796,6.455524223033843,3.895141931181903,2.1918936866047183,0.6503786734196159,11.494494014622557,8.191297350747947,5.975852305455716,1.205973374926615,1.734511384177806,0.8342619500488906,0.3157783165955277,0.15949709144889257,0.3957797387604661,0.3568110515645366,49.975845682280315,3.0228869410974397,1.5368153577078276,0.41406303067754846,0.6398097545557851
1455383178.351259,1702.867929682259,2.5031366369516266,0.4792792917439315,1.8633291558151446,0.671424401608379,1680.0655861388047,2.413178334782708,1.0560595705527245,1.54870052915859,0.47733973297394144,6.394313974938466,1.894151311955954,1.4670963142183007,1.0811384307426222,1.2103506961616106,0.6826712118084504,0.6931224615730205,0.17968829922593468,0.2042367092430806,0.2914926167883847,62.192341821363826,0.8691386569935585,0.48484732391243196,0.4182532912872839,0.3526566393291624
1455383178.851241,1671.807566318274,6.388508754859725,1.165473126186849,1.779361740236944,0.6787818556252257,1618.8366767222617,5.928206356415294,2.671691745863726,1.775085491190751,0.5416266218256663,6.0325336425272,4.6563759561605345,2.7540939903175694,1.0684837354608354,1.0175845527210032,1.1619072327743372,0.8711053363255933,0.47935498691948897,0.3078854791908096,0.48069233068280925,73.6103072030981,1.5334617207050134,0.5192634434801511,0.6360511501693588,0.2936379305756115
1455383179.350976,1685.229173416957,19.69032315892551,6.04933060859901,2.274948109153532,0.930812351121016,1669.3837234445336,19.444717836045427,7.166114951531595,1.8277036254793302,0.8734458848480064,9.267029193602635,11.945174781782168,5.188887177459229,1.4876260422033627,1.0270219237023557,2.968556955532003,0.6902210970224546,1.0042643517861258,0.35402696227514896,0.5899880994126616,94.730291030564,4.263081767214122,0.7792352741068225,0.6569452534440365,0.330908535224785
